DATE,TTLHH,,,,,,,,,,,,,,,,,
1/11/12,121084,,,,,,,,,,,,,,,,,
1/12/12,121084,,,,,,,,,,,,,,,,,
1/1/13,122459,,,,,,,,,,,,,,,,,
1/2/13,122459,,,,,,,,,,,,,,,,,
1/3/13,122459,,,,,,,,,,,,,,,,,
1/4/13,122459,,,,,,,,,,,,,,,,,
1/5/13,122459,,,,,,,,,,,,,,,,,
1/6/13,122459,,,,,,,,,,,,,,,,,
1/7/13,122459,,,,,,,,,,,,,,,,,
1/8/13,122459,,,,,,,,,,,,,,,,,
1/9/13,122459,,,,,,,,,,,,,,,,,
1/10/13,122459,,,,,,,,,,,,,,,,,
1/11/13,122459,,,,,,,,,,,,,,,,,
1/12/13,122459,,,,,,,,,,,,,,,,,
1/1/14,123229,,,,,,,,,,,,,,,,,
1/2/14,123229,,,,,,,,,,,,,,,,,
1/3/14,123229,,,,,,,,,,,,,,,,,
1/4/14,123229,,,,,,,,,,,,,,,,,
1/5/14,123229,,,,,,,,,,,,,,,,,
1/6/14,123229,,,,,,,,,,,,,,,,,
1/7/14,123229,,,,,,,,,,,,,,,,,
1/8/14,123229,,,,,,,,,,,,,,,,,
1/9/14,123229,,,,,,,,,,,,,,,,,
1/10/14,123229,,,,,,,,,,,,,,,,,
1/11/14,123229,,,,,,,,,,,,,,,,,
1/12/14,123229,,,,,,,,,,,,,,,,,
1/1/15,124587,,,,,,,,,,,,,,,,,
1/2/15,124587,,,,,,,,,,,,,,,,,
1/3/15,124587,,,,,,,,,,,,,,,,,
1/4/15,124587,,,,,,,,,,,,,,,,,
1/5/15,124587,,,,,,,,,,,,,,,,,
1/6/15,124587,,,,,,,,,,,,,,,,,
1/7/15,124587,,,,,,,,,,,,,,,,,
1/8/15,124587,,,,,,,,,,,,,,,,,
1/9/15,124587,,,,,,,,,,,,,,,,,
1/10/15,124587,,,,,,,,,,,,,,,,,
1/11/15,124587,,,,,,,,,,,,,,,,,
1/12/15,124587,,,,,,,,,,,,,,,,,
1/1/16,125819,,,,,,,,,,,,,,,,,
1/2/16,125819,,,,,,,,,,,,,,,,,
1/3/16,125819,,,,,,,,,,,,,,,,,
1/4/16,125819,,,,,,,,,,,,,,,,,
1/5/16,125819,,,,,,,,,,,,,,,,,
1/6/16,125819,,,,,,,,,,,,,,,,,
1/7/16,125819,,,,,,,,,,,,,,,,,
1/8/16,125819,,,,,,,,,,,,,,,,,
1/9/16,125819,,,,,,,,,,,,,,,,,
1/10/16,125819,,,,,,,,,,,,,,,,,
1/11/16,125819,,,,,,,,,,,,,,,,,
1/12/16,125819,,,,,,,,,,,,,,,,,
1/1/17,126224,,,,,,,,,,,,,,,,,
1/2/17,126224,,,,,,,,,,,,,,,,,
1/3/17,126224,,,,,,,,,,,,,,,,,
1/4/17,126224,,,,,,,,,,,,,,,,,
1/5/17,126224,,,,,,,,,,,,,,,,,
1/6/17,126224,,,,,,,,,,,,,,,,,
1/7/17,126224,,,,,,,,,,,,,,,,,
1/8/17,126224,,,,,,,,,,,,,,,,,
1/9/17,126224,,,,,,,,,,,,,,,,,
1/10/17,126224,,,,,,,,,,,,,,,,,
1/11/17,126224,,,,,,,,,,,,,,,,,
1/12/17,126224,,,,,,,,,,,,,,,,,
